freq,psd_x,psd_y,psd_z,psd_xyz
161.5,4.596e+02,5.857e+01,9.085e+01,6.091e+02
163.1,4.548e+02,5.760e+01,8.549e+01,5.979e+02
164.7,5.358e+02,6.517e+01,8.568e+01,6.867e+02
166.3,4.411e+02,8.576e+01,8.750e+01,6.143e+02
167.9,3.437e+02,1.531e+02,8.859e+01,5.854e+02
169.5,3.883e+02,2.222e+02,9.403e+01,7.045e+02
171.0,4.764e+02,2.372e+02,9.125e+01,8.049e+02
172.6,5.647e+02,2.913e+02,8.889e+01,9.449e+02
174.2,7.401e+02,4.267e+02,9.737e+01,1.264e+03
175.8,1.084e+03,6.799e+02,1.195e+02,1.883e+03
177.4,1.611e+03,9.967e+02,1.409e+02,2.749e+03
179.0,2.347e+03,1.538e+03,1.649e+02,4.051e+03
180.5,3.377e+03,2.399e+03,1.886e+02,5.965e+03
182.1,3.664e+03,2.520e+03,1.724e+02,6.357e+03
183.7,3.394e+03,2.237e+03,1.285e+02,5.760e+03
185.3,2.956e+03,1.935e+03,9.581e+01,4.987e+03
186.9,2.312e+03,1.358e+03,6.750e+01,3.737e+03
188.5,1.813e+03,9.132e+02,4.806e+01,2.775e+03
190.0,1.467e+03,5.644e+02,3.707e+01,2.068e+03
191.6,1.292e+03,3.841e+02,3.709e+01,1.713e+03
193.2,1.345e+03,2.742e+02,3.306e+01,1.652e+03
194.8,1.717e+03,2.193e+02,3.188e+01,1.968e+03
196.4,2.430e+03,1.818e+02,3.340e+01,2.645e+03
198.0,2.133e+03,9.242e+01,2.665e+01,2.252e+03
199.5,8.664e+02,4.337e+01,2.586e+01,9.356e+02
