freq,psd_x,psd_y,psd_z,psd_xyz
139.3,2.392e+01,2.401e+02,1.624e+02,4.264e+02
140.9,3.202e+01,1.975e+02,1.381e+02,3.676e+02
142.4,3.878e+01,1.773e+02,1.061e+02,3.222e+02
144.0,4.387e+01,1.721e+02,1.047e+02,3.207e+02
145.6,5.383e+01,1.903e+02,1.137e+02,3.578e+02
147.2,7.436e+01,2.240e+02,1.373e+02,4.357e+02
148.8,6.575e+01,2.854e+02,2.175e+02,5.686e+02
150.4,5.727e+01,3.405e+02,3.821e+02,7.798e+02
151.9,6.261e+01,3.660e+02,6.089e+02,1.038e+03
153.5,5.984e+01,3.574e+02,8.828e+02,1.300e+03
155.1,6.104e+01,3.233e+02,9.177e+02,1.302e+03
156.7,7.160e+01,3.213e+02,6.479e+02,1.041e+03
158.3,8.120e+01,3.375e+02,4.218e+02,8.405e+02
159.9,8.560e+01,3.298e+02,2.784e+02,6.938e+02
161.4,8.371e+01,3.141e+02,1.908e+02,5.887e+02
163.0,8.544e+01,3.034e+02,1.437e+02,5.325e+02
164.6,8.026e+01,3.297e+02,1.310e+02,5.410e+02
166.2,5.607e+01,3.761e+02,1.455e+02,5.777e+02
167.8,3.583e+01,4.271e+02,1.723e+02,6.353e+02
169.4,3.364e+01,5.076e+02,2.001e+02,7.414e+02
170.9,3.386e+01,5.631e+02,2.117e+02,8.086e+02
172.5,2.908e+01,6.130e+02,2.310e+02,8.731e+02
174.1,2.715e+01,7.062e+02,2.392e+02,9.726e+02
175.7,2.758e+01,7.748e+02,2.439e+02,1.046e+03
177.3,3.576e+01,8.322e+02,2.369e+02,1.105e+03
178.9,5.335e+01,9.160e+02,2.345e+02,1.204e+03
180.4,6.540e+01,1.009e+03,2.643e+02,1.339e+03
182.0,7.054e+01,1.122e+03,2.999e+02,1.492e+03
183.6,7.628e+01,1.288e+03,3.525e+02,1.717e+03
185.2,9.578e+01,1.638e+03,4.618e+02,2.196e+03
186.8,1.557e+02,2.315e+03,6.603e+02,3.131e+03
188.3,2.326e+02,2.964e+03,9.154e+02,4.112e+03
189.9,3.814e+02,3.504e+03,1.174e+03,5.060e+03
191.5,6.145e+02,4.386e+03,1.512e+03,6.513e+03
193.1,7.133e+02,4.398e+03,1.506e+03,6.618e+03
194.7,6.455e+02,3.429e+03,1.160e+03,5.235e+03
196.3,5.035e+02,2.167e+03,7.277e+02,3.398e+03
197.8,4.384e+02,1.404e+03,4.728e+02,2.315e+03
199.4,3.992e+02,9.422e+02,3.182e+02,1.660e+03
